Running for 1860.0 seconds (3720 samples at 0.5 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts   pkg-0 uncore  pkg-0   core  CPU Freq
14:39:04   2.3   0.0   0.6  96.4   0.7    2  12986   8314    0    0    0 106.74   53.37   0.00  53.37  45.55  2.91 GHz
14:39:05   2.3   0.0   0.6  96.8   0.4    2  11596   7756    0    0    0 106.19   53.09   0.00  53.09  45.28  2.93 GHz
14:39:05   2.1   0.0   0.6  96.9   0.4    2  10706   7356    0    0    0 104.74   52.37   0.00  52.37  44.58  2.94 GHz
14:39:06   2.1   0.0   0.6  96.8   0.4    2  11362   7436    0    0    0 104.56   52.28   0.00  52.28  44.46  2.89 GHz
14:39:06   2.3   0.0   0.6  96.4   0.8    1   7846   6584    0    0    0 104.30   52.15   0.00  52.15  44.33  2.97 GHz
14:39:07   0.8   0.0   1.0  93.5   4.7    1  15638  11202    0    0    0  55.99   28.00   0.00  28.00  20.17  2.84 GHz
14:39:07   0.3   0.0   1.4  95.9   2.4    2  26076  16932    0    0    0  69.61   34.80   0.00  34.80  26.86  3.17 GHz
14:39:08   0.3   0.0   1.0  97.0   1.8    1  27314  17592    0    0    0  80.57   40.28   0.00  40.28  32.33  3.19 GHz
14:39:08   0.3   0.0   1.4  96.6   1.7    1  26336  17456    0    0    0  74.45   37.23   0.00  37.23  29.18  3.07 GHz
14:39:09   0.2   0.0   1.3  96.8   1.8    2  27228  17442    0    0    0  79.40   39.70   0.00  39.70  31.62  3.01 GHz
14:39:09   0.2   0.0   1.3  96.8   1.8    2  25288  16240    0    0    0  64.82   32.41   0.00  32.41  24.37  2.87 GHz
14:39:10   0.3   0.0   1.1  96.8   1.8    2  24588  16158    0    0    0  65.24   32.62   0.00  32.62  24.59  3.08 GHz
14:39:10   0.2   0.0   1.0  97.1   1.8    1  24404  15986    0    0    0  63.20   31.60   0.00  31.60  23.58  3.01 GHz
14:39:11   0.1   0.0   1.3  96.8   1.8    1  24658  16114    0    0    0  63.61   31.80   0.00  31.80  23.77  3.01 GHz
14:39:11   0.3   0.0   1.5  96.3   1.9    1  28020  18490    0    0    0  74.30   37.15   0.00  37.15  29.07  3.06 GHz
14:39:12   0.2   0.0   1.3  96.9   1.6    2  31288  19834    0    0    0  84.96   42.48   0.00  42.48  34.34  3.13 GHz
14:39:12   0.3   0.0   1.3  96.9   1.6    2  32192  20602    0    0    0  86.09   43.04   0.00  43.04  34.88  3.07 GHz
14:39:13   0.5   0.0   1.6  96.6   1.2    2  26266  18280    0    0    0  81.74   40.87   0.00  40.87  32.82  2.95 GHz
14:39:13   2.4   0.0   0.5  96.8   0.3    2   5456   5134    0    0    0 111.00   55.50   0.00  55.50  47.85  2.99 GHz
14:39:14   2.6   0.0   0.4  96.8   0.3    2   6000   5236    0    0    0 111.05   55.52   0.00  55.52  47.89  3.03 GHz
14:39:14   2.6   0.0   0.3  96.8   0.3    2   8176   6340    0    0    0 111.56   55.78   0.00  55.78  48.14  3.08 GHz
14:39:15   2.1   0.0   0.7  96.6   0.6    1  35216  19162    0    0    0 110.98   55.49   0.00  55.49  47.74  3.25 GHz
14:39:15   2.0   0.0   0.6  93.9   3.4    2  15596   9472    0    0    1 100.73   50.37   0.00  50.37  42.70  2.92 GHz
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts   pkg-0 uncore  pkg-0   core  CPU Freq
14:39:16   2.4   0.0   0.6  96.3   0.7    2   7356   5872    1    0    1 111.78   55.89   0.00  55.89  48.23  2.95 GHz
14:39:16   2.4   0.0   0.6  96.8   0.3    2   7482   6066    0    0    0 111.28   55.64   0.00  55.64  47.99  3.06 GHz
14:39:17   2.4   0.0   0.6  96.8   0.3    2   4586   4766    0    0    0 111.53   55.76   0.00  55.76  48.11  3.11 GHz
14:39:17   2.0   0.0   0.6  96.9   0.6    2  10824   7028    0    0    0 104.21   52.10   0.00  52.10  44.45  3.10 GHz
14:39:18   1.7   0.0   1.0  94.2   3.1    1  13588   9416    0    0    2  83.71   41.86   0.00  41.86  34.01  3.00 GHz
14:39:18   2.4   0.0   0.5  95.0   2.1    2  13110   7884    2    0    5 106.89   53.45   0.00  53.45  45.68  2.95 GHz
14:39:19   2.3   0.0   0.6  96.9   0.3    2  11946   7598    0    0    1 107.44   53.72   0.00  53.72  45.97  2.88 GHz
14:39:19   2.3   0.0   0.6  96.9   0.2    2   9132   6430    0    0    0 107.85   53.92   0.00  53.92  46.15  2.95 GHz
14:39:20   2.0   0.0   0.6  96.8   0.6    2  15024   8432    0    0    0 100.70   50.35   0.00  50.35  42.61  3.02 GHz
14:39:20   1.6   0.0   0.9  95.6   1.9    2  61824  28364    0    0    0  91.27   45.64   0.00  45.64  37.79  3.16 GHz
14:39:21   2.2   0.0   0.6  93.8   3.4    2   8844   6292    0    0    0 109.83   54.85   0.00  54.97  47.28  3.01 GHz
14:39:21   2.2   0.0   0.7  96.6   0.6    1   6010   5398    0    0    0 110.18   55.15   0.00  55.03  47.37  3.15 GHz
14:39:22   2.4   0.0   0.4  96.9   0.3    2   4432   4666    0    0    0 111.57   55.78   0.00  55.78  48.10  3.11 GHz
14:39:22   2.5   0.0   0.4  96.8   0.3    2   5748   5292    0    0    0 111.34   55.67   0.00  55.67  48.01  2.90 GHz
14:39:23   1.5   0.0   0.9  96.9   0.8    2  17676   9566    0    0    0  94.68   47.34   0.00  47.34  39.59  2.95 GHz
14:39:23   1.6   0.0   0.8  94.2   3.4    3  41292  19862    0    0    0  96.90   48.45   0.00  48.45  40.60  2.85 GHz
14:39:24   2.3   0.0   0.6  95.2   1.9    2  12736   7850    0    0    0 108.44   54.22   0.00  54.22  46.43  2.88 GHz
14:39:24   2.3   0.0   0.6  96.9   0.2    2  10408   7120    0    0    0 107.51   53.75   0.00  53.75  45.99  3.02 GHz
14:39:25   2.4   0.0   0.6  96.8   0.3    2  11566   7488    0    0    0 107.47   53.73   0.00  53.73  45.95  2.96 GHz
14:39:25   1.8   0.0   0.9  96.8   0.5    1  13530   6548    0    0    0 101.11   50.56   0.00  50.56  42.80  2.98 GHz
14:39:26   1.5   0.0   0.9  95.5   2.1    2  20134  10166    0    0    0  78.18   39.09   0.00  39.09  31.27  2.90 GHz
14:39:26   2.1   0.0   0.8  93.7   3.4    2  13346   8080    0    0    0 108.33   54.10   0.00  54.23  46.48  2.92 GHz
14:39:27   2.4   0.0   0.6  96.6   0.4    2   9560   6570    0    0    0 107.05   53.59   0.00  53.46  45.71  2.93 GHz
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts   pkg-0 uncore  pkg-0   core  CPU Freq
14:39:27   2.9   0.0   0.4  96.5   0.2    2  13238   7330   16    5    7 115.05   57.52   0.00  57.52  49.73  3.06 GHz
14:39:28   2.3   0.0   0.6  96.8   0.3    2  10730   7298    0    0    2 107.11   53.56   0.00  53.56  45.78  3.19 GHz
14:39:28   1.7   1.7   0.9  94.9   0.8    2  16544   8666    6    6    3 122.88   61.44   0.00  61.44  53.57  3.02 GHz
14:39:29   2.3   2.1   1.2  90.9   3.5    2  21930  13458   16   12   16 139.16   69.58   0.00  69.58  61.56  2.88 GHz
14:39:29   2.3   0.0   0.6  95.4   1.6    2   9218   6910    0    0    1 109.70   54.85   0.00  54.85  47.19  3.06 GHz
14:39:30   2.3   0.0   0.6  96.9   0.3    2   4198   4498    0    0    0 111.34   55.67   0.00  55.67  47.99  3.06 GHz
14:39:30   2.8   0.0   0.7  96.3   0.3    2   8124   6270    4    3    3 116.90   58.45   0.00  58.45  50.80  3.10 GHz
14:39:31   1.9   0.0   0.6  96.9   0.5    2  10516   7116    0    0    0 104.32   52.16   0.00  52.16  44.51  2.95 GHz
14:39:31   1.8   0.0   0.9  94.3   2.9    2  22982  13802    1    0    1  91.91   45.96   0.00  45.96  38.16  3.04 GHz
14:39:32   2.5   0.0   0.4  94.1   3.0    2   9670   6908    0    0    0 109.45   54.66   0.00  54.79  47.08  3.04 GHz
14:39:32   2.3   0.0   0.5  97.0   0.2    2   5710   5332    0    0    0 111.57   55.85   0.00  55.72  48.05  3.07 GHz
14:39:33   2.4   0.0   0.5  96.9   0.3    2   6430   5702    0    0    0 111.22   55.61   0.00  55.61  47.96  3.11 GHz
14:39:33   2.4   0.0   0.6  96.8   0.3    2   6968   5964    0    0    0 111.13   55.57   0.00  55.57  47.92  2.97 GHz
14:39:34   1.8   0.0   0.6  96.3   1.3    1  14352   9648    0    0    0  99.16   49.58   0.00  49.58  41.85  3.07 GHz
14:39:34   1.9   0.0   0.9  93.7   3.5    2  21068  12672    0    0    0  98.28   49.14   0.00  49.14  41.40  3.03 GHz
14:39:35   2.3   0.0   0.7  95.8   1.3    2   7058   5804    0    0    0 111.37   55.68   0.00  55.68  48.02  3.11 GHz
14:39:35   2.4   0.0   0.4  96.9   0.3    2   8574   6210    0    0    1 107.76   53.88   0.00  53.88  46.12  2.95 GHz
14:39:36   2.6   0.0   0.4  96.7   0.3    1   9418   6658    1    0    1 106.46   53.23   0.00  53.23  45.46  2.94 GHz
14:39:36   1.4   0.0   0.9  96.9   0.8    2  19872  13366    0    0    0  98.54   49.27   0.00  49.27  41.28  3.06 GHz
14:39:37   0.3   0.0   1.4  96.8   1.4    1  33648  21162    0    0    0  86.30   43.15   0.00  43.15  34.93  2.95 GHz
14:39:37   0.8   0.0   1.4  96.7   1.1    2  26126  18726    0    0    0  92.86   46.43   0.00  46.43  38.29  3.02 GHz
14:39:38   2.1   0.0   1.1  96.8   0.1    2   1662   9160    0    0    0 110.49   55.24   0.00  55.24  47.34  3.07 GHz
14:39:38   2.3   0.0   0.8  96.8   0.1    2   2246   9574    0    0    0 111.51   55.76   0.00  55.76  47.84  3.06 GHz
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts   pkg-0 uncore  pkg-0   core  CPU Freq
14:39:39   2.0   0.0   1.1  96.8   0.1    2   1682   9144    0    0    0 110.83   55.41   0.00  55.41  47.62  2.99 GHz
14:39:39   2.1   0.0   0.4  96.9   0.6    1  13868   6486    0    0    0  99.19   49.59   0.00  49.59  41.82  2.99 GHz
14:39:40   2.0   0.0   0.8  94.4   2.8    1  51988  24528    0    0    0 103.62   51.81   0.00  51.81  44.04  3.04 GHz
14:39:40   2.3   0.0   0.8  95.1   1.9    2   9624   4826    0    0    0 108.49   54.25   0.00  54.25  46.59  3.02 GHz
14:39:41   2.5   0.0   0.4  96.9   0.2    2   8408   4358    0    0    0 107.67   53.83   0.00  53.83  46.33  3.01 GHz
14:39:41   2.4   0.0   0.6  96.8   0.2    2   7054   3700    0    0    0 106.06   53.03   0.00  53.03  45.29  2.95 GHz
14:39:42   2.5   0.0   0.5  96.8   0.2    2   7544   3782    0    0    0 107.48   53.74   0.00  53.74  46.09  2.95 GHz
14:39:42   2.5   0.0   0.3  96.8   0.4    2   8896   4438    0    0    0 102.60   51.30   0.00  51.30  43.67  2.90 GHz
14:39:43   1.9   0.0   0.7  95.6   1.9    2  23436  12716    0    0    3  91.74   45.87   0.00  45.87  38.10  2.91 GHz
14:39:43   2.4   0.0   0.4  93.9   3.3    2  10314   4968    0    0    0 109.61   54.81   0.00  54.81  47.14  2.74 GHz
14:39:44   2.5   0.0   0.5  96.7   0.3    2  11788   6724    0    0    0 108.59   54.29   0.00  54.29  46.56  2.95 GHz
14:39:44   2.4   0.0   0.4  96.9   0.3    2  10040   6896    0    0    2 107.77   53.83   0.00  53.95  46.14  2.88 GHz
14:39:45   2.3   0.0   0.6  96.9   0.3    1  12368   7786    0    0    0 106.17   53.14   0.00  53.02  45.23  3.07 GHz
14:39:45   1.8   0.0   0.8  96.2   1.2    1  40324  20794    0    0    0  99.46   49.73   0.00  49.73  41.89  3.12 GHz
14:39:46   2.1   0.0   0.7  94.0   3.2    2  20912  12106    0    0    1 102.07   50.98   0.00  51.09  43.24  3.05 GHz
14:39:46   2.4   0.0   0.5  95.9   1.3    2  12690   7830    0    0    0 108.90   54.50   0.00  54.40  46.59  3.02 GHz
14:39:47   2.3   0.0   0.6  96.9   0.3    2  11516   7298    0    0    0 105.66   52.83   0.00  52.83  45.06  2.88 GHz
14:39:47   2.2   0.0   0.6  96.9   0.3    2  11132   7132    0    0    0 106.93   53.46   0.00  53.46  45.66  2.95 GHz
14:39:48   1.6   0.0   0.5  97.0   0.9    1  16416   7562    0    0    0  89.93   44.97   0.00  44.97  37.29  3.03 GHz
14:39:48   1.6   0.0   1.0  94.2   3.2    2  11506   9082    0    0    0  85.10   42.55   0.00  42.55  34.66  2.96 GHz
14:39:49   2.3   0.0   0.6  95.0   2.1    1  11604   7896    0    0    0 108.95   54.48   0.00  54.48  46.77  3.04 GHz
14:39:49   2.4   0.0   0.6  96.7   0.2    2   8808   6590    0    0    0 112.11   56.05   0.00  56.05  48.36  3.04 GHz
14:39:50   1.9   0.0   0.9  96.8   0.3    2   6586   5778    0    0    0 111.58   55.79   0.00  55.79  48.08  2.96 GHz
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts   pkg-0 uncore  pkg-0   core  CPU Freq
14:39:50   1.9   0.0   0.5  96.9   0.8    2  13872   8848    0    0    0  99.02   49.51   0.00  49.51  41.83  3.03 GHz
14:39:51   1.6   0.0   1.0  94.2   3.1    1  42722  22120    0    0    0  95.74   47.87   0.00  47.87  40.08  3.06 GHz
14:39:51   2.1   0.0   0.8  94.7   2.4    2   8066   6276    0    0    0 109.34   54.67   0.00  54.67  46.92  2.82 GHz
14:39:52   2.4   0.0   0.5  96.7   0.3    1  11610   7744    0    0    0 105.99   53.00   0.00  53.00  45.32  2.97 GHz
14:39:52   2.3   0.0   0.6  96.9   0.3    1  11912   7778    0    0    0 109.06   54.53   0.00  54.53  46.63  2.94 GHz
14:39:53   1.8   0.0   0.7  96.8   0.7    1  15902   9170    0    0    0  99.39   49.70   0.00  49.70  41.87  3.02 GHz
14:39:53   1.6   0.0   0.9  94.2   3.3    2  37600  21336    0    0    0  86.45   43.23   0.00  43.23  35.36  2.97 GHz
14:39:54   2.3   0.0   0.6  94.4   2.7    2  12944   8196    0    0    0 107.58   53.79   0.00  53.79  45.99  3.02 GHz
14:39:54   2.3   0.0   0.6  96.9   0.3    2  11600   7736    0    0    0 108.21   54.11   0.00  54.11  46.29  3.00 GHz
14:39:55   2.4   0.0   0.6  96.8   0.3    2  10398   7112    0    0    0 107.56   53.78   0.00  53.78  46.10  2.95 GHz
14:39:55   1.9   0.0   0.7  96.9   0.6    2  13514   8206    0    0    0  93.08   46.54   0.00  46.54  38.71  3.00 GHz
14:39:56   1.6   0.0   0.9  94.8   2.7    2  52560  24542    1    0    0  93.24   46.62   0.00  46.62  38.73  3.17 GHz
14:39:56   2.3   0.0   0.6  94.1   3.0    2  16370   9468    0    0    0 110.96   55.48   0.00  55.48  47.67  3.03 GHz
14:39:57   2.4   0.0   0.7  96.6   0.3    2   8664   6538    0    0    0 110.09   55.05   0.00  55.05  47.31  2.96 GHz
14:39:57   2.3   0.0   0.6  96.9   0.3    2   8374   6402    0    0    0 108.11   54.06   0.00  54.06  46.39  3.02 GHz
14:39:58   2.0   0.0   0.6  96.8   0.6    2  11072   7402    0    0    0  98.31   49.16   0.00  49.16  41.48  2.93 GHz
14:39:58   1.4   0.0   1.0  95.9   1.8    1  18248  12190    0    0    0  79.08   39.54   0.00  39.54  31.74  2.97 GHz
14:39:59   1.8   0.0   0.6  94.1   3.6    1  14258   8360    0    0    0  94.80   47.40   0.00  47.40  39.75  2.91 GHz
14:39:59   1.1   0.0   2.3  94.1   2.6    2   3052   2064    0    0    0 107.70   53.85   0.00  53.85  45.84  3.05 GHz
14:40:00   0.6   0.0   2.6  96.7   0.1    2   1552   1416    0    0    0 108.17   54.08   0.00  54.08  46.17  2.96 GHz
14:40:00   0.7   0.0   2.6  96.7   0.1    2   1718   1532    0    0    0 108.49   54.24   0.00  54.24  46.22  3.05 GHz
14:40:01   2.5   0.0   0.6  96.7   0.1    1   3458   2258    0    0    0 114.02   57.01   0.00  57.01  49.27  3.02 GHz
14:40:01   2.7   0.0   0.4  96.8   0.1    2   7416   4176    0    0    0 115.04   57.52   0.00  57.52  49.92  3.04 GHz
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts   pkg-0 uncore  pkg-0   core  CPU Freq
14:40:02   2.6   0.0   0.4  96.8   0.2    2   5408   3306    0    0    0 115.12   57.56   0.00  57.56  49.98  3.03 GHz
14:40:02   2.8   0.0   0.4  96.7   0.2    2   6876   3924    0    0    0 111.94   55.97   0.00  55.97  48.38  2.97 GHz
14:40:03   2.6   0.0   0.6  96.7   0.1    2   6796   3922    0    0    0 113.00   56.44   0.00  56.56  48.94  3.04 GHz
14:40:03   2.7   0.0   0.3  96.7   0.3    2   6430   3780    0    0    0 109.86   54.99   0.00  54.87  47.28  2.92 GHz
14:40:04   2.0   0.0   0.5  96.4   1.1    1  42384  19718    0    0    0  98.27   49.13   0.00  49.13  41.43  2.84 GHz
14:40:04   2.6   0.0   0.6  93.6   3.1    1  26140  13446    0    0    0 108.62   54.31   0.00  54.31  46.61  3.02 GHz
14:40:05   2.7   0.0   0.4  95.8   1.1    2   7730   4290    0    0    0 112.37   56.19   0.00  56.19  48.72  3.05 GHz
14:40:05   2.7   0.0   0.3  96.8   0.3    2   7036   3854    0    0    0 110.78   55.39   0.00  55.39  47.71  2.97 GHz
14:40:06   2.7   0.0   0.4  96.7   0.1    2   5530   3298    0    0    0 111.36   55.68   0.00  55.68  48.08  2.92 GHz
14:40:06   2.8   0.0   0.3  96.7   0.2    2   4998   3180    0    0    0 112.01   56.00   0.00  56.00  48.42  3.00 GHz
14:40:07   2.7   0.0   0.4  96.8   0.1    2   7710   4186    0    0    0 114.15   57.07   0.00  57.07  49.50  3.07 GHz
14:40:07   2.8   0.0   0.2  96.8   0.2    2   4588   3040    0    0    0 115.25   57.63   0.00  57.63  50.06  3.04 GHz
14:40:08   2.4   0.0   0.6  96.6   0.5    2  15788   8030    0    0    0 109.31   54.65   0.00  54.65  47.02  3.15 GHz
14:40:08   2.1   0.0   0.7  93.7   3.5    2  12440   7986    0    0    0  94.70   47.35   0.00  47.35  39.63  2.98 GHz
14:40:09   2.7   0.0   0.4  95.7   1.3    2   7932   4426    0    0    0 111.97   55.93   0.00  56.04  48.43  2.89 GHz
14:40:09   2.8   0.0   0.4  96.7   0.1    2   5906   3470    0    0    0 115.51   57.76   0.00  57.76  50.14  3.04 GHz
14:40:10   2.6   0.0   0.4  96.7   0.2    2   6452   3830    0    0    0 116.52   58.31   0.00  58.20  50.67  2.95 GHz
14:40:10   2.8   0.0   0.3  96.8   0.1    2   7164   4166    0    0    0 116.78   58.39   0.00  58.39  50.81  3.16 GHz
14:40:11   2.8   0.0   0.3  96.7   0.2    2   8504   4608    0    0    0 117.13   58.57   0.00  58.57  50.96  2.96 GHz
14:40:11   2.7   0.0   0.4  96.7   0.1    2   7156   4214    0    0    0 116.76   58.38   0.00  58.38  50.83  3.02 GHz
14:40:12   2.4   0.0   0.4  96.6   0.5    2  14044   7434    0    0    0 110.30   55.15   0.00  55.15  47.52  3.20 GHz
14:40:12   2.3   0.0   0.6  94.0   3.1    2  64910  26092    0    0    0 111.60   55.80   0.00  55.80  48.06  2.94 GHz
14:40:13   2.6   0.0   0.4  95.6   1.4    3   8558   4684    0    0    0 112.65   56.32   0.00  56.32  48.71  2.83 GHz
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts   pkg-0 uncore  pkg-0   core  CPU Freq
14:40:13   2.7   0.0   0.4  96.7   0.1    2   5834   3532    0    0    0 112.87   56.43   0.00  56.43  48.84  2.92 GHz
14:40:14   2.8   0.0   0.3  96.7   0.2    2   7578   4284    0    0    0 111.61   55.81   0.00  55.81  48.34  3.05 GHz
14:40:14   2.8   0.0   0.3  96.7   0.2    3   6882   3930    0    0    0 112.32   56.10   0.00  56.21  48.47  2.96 GHz
14:40:15   2.7   0.0   0.5  96.7   0.1    2   7002   4020    0    0    0 111.36   55.73   0.00  55.62  48.04  3.02 GHz
14:40:15   2.8   0.0   0.3  96.7   0.2    2   7908   4548    0    0    0 112.39   56.19   0.00  56.19  48.59  2.96 GHz
14:40:16   2.6   0.0   0.4  96.7   0.4    2   8580   4746    1    0    1 107.10   53.55   0.00  53.55  45.93  3.04 GHz
14:40:16   2.3   0.0   0.8  93.7   3.2    2  20344   9886    0    0    0 101.42   50.71   0.00  50.71  42.95  2.99 GHz
14:40:17   2.6   0.0   0.4  95.5   1.4    2   7022   4028    0    0    0 113.96   56.98   0.00  56.98  49.38  2.99 GHz
14:40:17   2.6   0.0   0.3  96.7   0.3    3   5680   3442    0    0    0 112.33   56.16   0.00  56.16  48.58  2.97 GHz
14:40:18   2.8   0.0   0.3  96.7   0.3    2   7108   4016    0    0    0 108.74   54.37   0.00  54.37  46.77  3.00 GHz
14:40:18   2.6   0.0   0.4  96.7   0.3    2   5422   3146    0    0    0 107.60   53.80   0.00  53.80  46.20  2.99 GHz
14:40:19   2.8   0.0   0.3  96.8   0.2    2   5696   3420    0    0    0 113.80   56.90   0.00  56.90  49.27  3.07 GHz
14:40:19   2.0   0.0   1.3  96.6   0.1    2   4126   2666    0    0    0 109.12   54.56   0.00  54.56  46.85  3.02 GHz
14:40:20   1.9   0.0   1.2  96.6   0.2    2   4168   2614    0    0    0 108.81   54.41   0.00  54.41  46.70  2.99 GHz
14:40:20   2.0   0.0   0.8  95.9   1.3    2  56488  27478    0    0    0 104.29   52.15   0.00  52.15  44.29  3.03 GHz
14:40:21   2.6   0.0   0.4  93.8   3.2    3   8170   4278    0    0    0 115.18   57.59   0.00  57.59  49.97  3.01 GHz
14:40:21   2.9   0.0   0.6  95.9   0.5    2   6284   3968    0    0    0 116.25   58.12   0.00  58.12  50.50  3.08 GHz
14:40:22   2.9   0.0   0.4  96.5   0.2    2   7436   4096    0    0    0 115.82   57.91   0.00  57.91  50.29  3.02 GHz
14:40:22   2.6   0.0   0.4  96.7   0.2    2   8438   4832    0    0    0 112.54   56.27   0.00  56.27  48.65  2.97 GHz
14:40:23   2.6   0.0   0.5  96.8   0.1    2   6876   3996    0    0    0 112.59   56.30   0.00  56.30  48.68  3.04 GHz
14:40:23   2.7   0.0   0.4  96.7   0.2    2   8400   4760    0    0    0 112.81   56.40   0.00  56.40  48.78  2.97 GHz
14:40:24   2.5   0.0   0.4  96.7   0.4    2   9364   4880    0    0    0 108.26   54.13   0.00  54.13  46.49  2.97 GHz
14:40:24   2.3   0.0   0.8  94.1   2.9    2  52508  26290    0    0    0 106.36   53.18   0.00  53.18  45.40  2.69 GHz
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts   pkg-0 uncore  pkg-0   core  CPU Freq
14:40:25   2.5   0.0   0.5  95.1   1.9    2   9688   5050    0    0    0 116.58   58.29   0.00  58.29  50.67  3.02 GHz
14:40:25   2.7   0.0   0.4  96.7   0.1    2   7124   4026    0    0    0 116.52   58.26   0.00  58.26  50.64  3.03 GHz
14:40:26   2.9   0.0   0.2  96.7   0.2    2   6576   3782    0    0    0 115.85   57.93   0.00  57.93  50.22  2.99 GHz
14:40:26   2.6   0.0   0.4  96.7   0.3    2   7746   4334    0    0    0 117.33   58.67   0.00  58.67  50.90  2.97 GHz
14:40:27   2.8   0.0   0.4  96.7   0.2    2   8368   4606    0    0    0 116.17   58.09   0.00  58.09  50.32  3.13 GHz
14:40:27   2.8   0.0   0.4  96.6   0.2    2   6446   3630    0    0    0 116.55   58.28   0.00  58.28  50.67  2.95 GHz
14:40:28   2.1   0.0   0.6  96.1   1.2    2  31290  16294    0    0    0 106.28   53.14   0.00  53.14  45.43  3.03 GHz
14:40:28   2.5   0.0   0.7  93.4   3.4    1  27852  13296    0    0    0 104.08   52.04   0.00  52.04  44.37  2.96 GHz
14:40:29   2.6   0.0   0.4  96.2   0.8    2   4302   2716    0    0    0 115.92   57.96   0.00  57.96  50.41  3.03 GHz
14:40:29   2.8   0.0   0.3  96.8   0.1    2   3726   2506    0    0    0 115.72   57.86   0.00  57.86  50.40  3.04 GHz
14:40:30   2.7   0.0   0.4  96.7   0.2    2   4816   3018    0    0    0 113.45   56.73   0.00  56.73  49.25  3.06 GHz
14:40:30   2.8   0.0   0.4  96.7   0.1    2   3894   2424    0    0    0 114.08   57.04   0.00  57.04  49.44  3.03 GHz
14:40:31   2.7   0.0   0.4  96.7   0.1    2   3780   2436    0    0    0 114.25   57.12   0.00  57.12  49.66  2.97 GHz
14:40:31   2.8   0.0   0.4  96.6   0.1    2   4602   2804    0    0    0 114.08   57.04   0.00  57.04  49.47  3.03 GHz
14:40:32   2.4   0.0   0.5  96.9   0.1    2   4772   2960    0    0    0 113.68   56.78   0.00  56.90  49.41  3.06 GHz
14:40:32   2.7   0.0   0.5  96.6   0.2    2   4302   3062    0    0    0 115.59   57.85   0.00  57.73  50.11  3.05 GHz
14:40:33   2.8   0.0   0.3  96.7   0.2    2   5896   4320    0    0    0 116.79   58.39   0.00  58.39  50.78  3.01 GHz
14:40:33   1.8   0.0   0.9  95.5   1.8    3  40804  10780    0    0    0  90.08   45.04   0.00  45.04  37.33  2.71 GHz
14:40:34   2.6   0.0   0.4  93.7   3.3    2  24082  11794    0    0    0 110.54   55.27   0.00  55.27  47.62  3.10 GHz
14:40:34   2.8   0.0   0.2  95.3   1.7    2   6604   4534    0    0    0 112.74   56.37   0.00  56.37  48.74  3.18 GHz
14:40:35   2.6   0.0   0.4  96.7   0.2    1   6848   5022    0    0    0 114.47   57.24   0.00  57.24  49.63  3.02 GHz
14:40:35   2.6   0.0   0.4  96.9   0.2    2   6200   4560    0    0    0 117.12   58.56   0.00  58.56  50.94  2.98 GHz
14:40:36   2.8   0.0   0.4  96.6   0.2    2   6236   4698    1    0    1 117.11   58.55   0.00  58.55  50.93  2.93 GHz
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts   pkg-0 uncore  pkg-0   core  CPU Freq
14:40:36   2.5   0.0   0.5  96.8   0.2    2   6952   4760    0    0    0 116.09   58.04   0.00  58.04  50.42  3.05 GHz
14:40:37   2.8   0.0   0.2  96.7   0.3    2   7018   4838    0    0    0 115.03   57.51   0.00  57.51  49.88  3.17 GHz
14:40:37   1.5   0.0   0.9  95.1   2.5    4  25446  14754    0    0    0  90.93   45.46   0.00  45.46  37.67  2.82 GHz
14:40:38   2.6   0.0   0.6  93.6   3.1    2  25146  12796    0    0    0 115.68   57.84   0.00  57.84  50.19  3.05 GHz
14:40:38   2.8   0.0   0.4  96.0   0.8    2   7428   5046    0    0    0 113.70   56.85   0.00  56.85  49.13  3.01 GHz
14:40:39   2.6   0.0   0.4  96.7   0.2    2   8122   5230    0    0    0 113.04   56.52   0.00  56.52  48.73  2.95 GHz
14:40:39   2.8   0.0   0.4  96.6   0.2    2   6512   4552    0    0    0 112.25   56.12   0.00  56.12  48.42  3.03 GHz
14:40:40   2.8   0.0   0.3  96.8   0.2    1   9244   5840    0    0    0 112.18   56.09   0.00  56.09  48.41  2.97 GHz
14:40:40   2.0   0.0   0.6  96.9   0.6    2  14086   8684    0    0    0 104.14   52.07   0.00  52.07  44.26  2.85 GHz
14:40:41   1.4   0.0   0.9  94.7   3.0    2  66960  32202    0    0    0  96.50   48.25   0.00  48.25  40.33  2.98 GHz
14:40:41   2.2   0.0   0.7  94.4   2.7    2  12660   8230    0    0    0 108.95   54.47   0.00  54.47  46.74  3.06 GHz
